trader,cluster
0x4e28af8a99e17b481d397218031d987cf587c638,13
0x4e5578a97662a79c07b53e3f1e4731eb9676fb57,2
0x4e587b749ed7650189f240d24c1173a61e70f536,-1
0x4e7cfe8e3e20284ba246978abaf301c5fb0ccc9c,11
0x4e994d450c7c710ba4baeda5e249acc71f80aa1b,3
0x4ee1d18e68743d9e3e90e43363342283acc9a36f,2
0x4ef1c5ae65ab5b37629b7aa523e7e95e7da528e3,1
0x4f0a6c8549404112b43edacad9218d2444a18487,1
0x4f23f946562d26f62a80c06b4a6909da371cc4f7,16
0x4faf9534f8f029d03561d245b3b442b1c2e14ee2,-1
0x4fe53e953f1ff4454d144cb6f4fee3f2ca9363fe,23
0x4fec34a3ba424b0212df81a9a8023051f67cf3f2,13
0x500a8d2934da6f7831e3996df1c8c5a5a74c2274,-1
0x5037dd2d561525e10c9f4ac1ea063e72cc23b3e2,-1
0x503c3dbb6f21f231a33da05822229026e8a88acd,12
0x5049695d6faacffd34f2d24f3f0ff8c64d88f71c,11
0x504ec17f392b0aea095a1774146316bbeb464683,-1
0x50f266d501093145fc8d0be13b77b5be117abcce,1
0x511b61c739446eb3f336e3f77d06b78d80ae748a,10
0x51447a58623311e3e6c6e767d67dc36d890ad464,12
0x516847aa8d762ca0dfdf012228e6cf0609537e2f,22
0x520b50cd80e03468840c191a76fc6a1709580416,19
0x526aedc92fa08b871293def33e978de997ea9955,21
0x5280172565587fa7a741702a72d7f748ed57e812,5
0x52b8d45659c6d822a13491756b7a40ec0e339523,21
0x52e8156bd13058682194c8989fcf20940bb6ba2f,-1
0x5333c1d733794e02f34d5f0d88c65d03fd2e4db1,-1
0x53822864019ef6048b595d11f87b76e5f3c0c33d,18
0x53c1f63a8885bda1a337da715fe7262b5a04bf0d,-1
0x53c94dd4f1e2c3ea2b624d783540dd8cbb631b4d,-1
0x53ec525b9df849be99263311f5b7f9fd6cfebea6,19
0x53f2736fae551c998d4e72e519f1acf474264de4,-1
0x540012097465cf0beb9113a0a28c4484d7c57bdc,-1
0x54a4473edf9330e26ac9c9afb3a68f1ed88df865,-1
0x54bd2e897572584825271df17a484c15941ed647,5
0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,22
0x5559da6ec434c5723d0ce9c4da7f29e3f8a3d43b,-1
0x5580a06e60598138dbd5e40b76cd67f99da748ea,22
0x559556e3bbbbfc72852ca4c5dc262fe1863f6ffe,8
0x55d51be4b89897654a5899a41a6b8d0df01bc91e,12
0x56468ed7460c8d4d04b9d222a89e220d1f120951,-1
0x565b1c32936bdaa526947178acc95c5b08cfacc4,-1
0x5690fd2f011c86c2a6de8fcde2d7d1c5e314abd3,-1
0x56b9b59209486bf07efbe26bde84519b3fe6276c,-1
0x56cd86d6ef24a3f51ce6992b7f1db751b0a0276a,0
0x56dc7459927c4b354431673054dd56734419bea7,13
0x570b09e27a87f9acbce49f85056745d29b3ee3c6,10
0x57404c3e8cb9957336ce2c8cd5d0b8418db09945,-1
0x5772e5982a6067830f43cbcddb9d1bb1cbc81657,-1
0x5799df76eaf3b7c5714f1be1d8e61c5f568dde63,-1
0x581796f091e9304d7796a86916886d95fa544dad,-1
0x581cbebf0e7ecf4cb49c9be8de4cefcf91c5f953,5
0x5876025aa6b9735e77d90fafd774563ea7a5c325,-1
0x587d923fe6ab80db02845bf9ab30587db6594690,-1
0x588432f54227364caf999a6df88dbf86a90f4772,-1
0x58a049263e0754cb51a63248c34ffe07e8434899,5
0x58a4a1658f0eb3774ea787a8c31619ce20437929,10
0x58ca77986fe30d06840a4066236ced1e93d0a713,-1
0x58e4ae56be8da7e60de849e0e76f58324f443dfa,-1
0x58f0ffc605dcfa5263b285fdcb5269d76fcde5b9,20
0x58febd84d38a93165e5c3c8e7b1a9bed371fcd1a,-1
0x593889178ac483d13c181cc159653579722e357e,11
0x597077efeb1bca71deaf556bac4d8e28a4595bef,9
0x5987f1a632e283403c4cab7b0ab1d39bbd43515e,-1
0x5a2ce6edcd82d9a9141bcbde7b9559f8816838ab,-1
0x5a629e148f9e0a33f56ac9a7e441a70357725a27,5
0x5a7581618829f377a16be2338eabdd03fece0eaf,-1
0x5a8e21c3a73cc4742ecf1f422379a6fbf1992a42,4
0x5b31a472f8156568bad291072dcce4faa43fb05b,11
0x5b58b4713ebaed279dd35fdb42324cddee324050,-1
0x5bb247495cce4a090ff1923ee9c44e28e515e8d5,-1
0x5bb58a576733d839f954d2f3da15a90abd44e1c0,21
0x5bb5bb67feb8f7811d6ee305d6b8eedeaca80727,-1
0x5be006222a45b583a3aa032bb28a1ea642d08595,13
0x5c0db52c100b26f7add20caadf6d65cf475fd377,-1
0x5c976811cf5e44294ba0f510aa670177c3750360,-1
0x5c9e30def85334e587cf36eb07bdd6a72bf1452d,-1
0x5d2f4460ac3514ada79f5d9838916e508ab39bb7,0
0x5d510582063ed6c342d27d7746f551631ef68432,11
0x5e0c4ce4d138c75f649c07e1a49986149f0fc404,-1
0x5e196385ab94dd1889cb7f521ff74053ee423cf8,-1
0x5e53ce97fcd3abe46f1ab45abb3e9a9c5e19f193,-1
0x5f1ff6f82d95ee2aaf599577024c5d37c860b0a8,10
0x5f496c4c1b68633c859f45dea8fdd56e2d01971b,5
0x6049ddfd35e4d9098a6367e36023f2a36792b642,17
0x60ab2f1bcedbc889cb515f12f13b91250721bca1,-1
0x60ddd3d9544461df849b1eb4f39ce8afaab928a9,-1
0x60fc81b4411f3299befe4b39ae8c9832271663bd,22
0x6111d8e041ad5828dffc523763e7ad85ebdbcfde,-1
0x6195e397e225cac7a04af74cba2d7ddbba1a419a,-1
0x627855d102a30bad93260dae28a0fd6225607c2b,-1
0x631abae0e172c21dd37fa303bdd9deec22d32a04,1
0x63d417a577b50c96f4f09148d4e4d70950db0522,4
0x63f2b41de83229a3f44b628e11713a2a60ae6f55,-1
0x641d975e362e5e5cc95ca45347a0bec0b8aba1bc,10
0x644f7170fae9d4d173d9217f03b7a77e22ed98f1,-1
0x6476d5c547d2bd26f827acb38faa1a0529bf9e36,-1
0x649156ebf0a350deb18a1e4835873defd4dc5349,-1
0x64a422cf6935b01a88e11345c8d6b0df6d25cfa2,1
0x64d0c26f561c1a653a2fe48337e9970275564d45,9
0x650ae977f02ac4e74ad4ab421a91af3bbe4309b9,-1
0x657e21723ae99c05c9c2a6032343c7865bcb1940,-1
0x667b8184fcb9e83bf3180bb42f5c67374cde679a,12
0x66bee313e91a546b82a33c372b5a9c2a6ae3fbce,-1
0x66d1f704749ced8c60df03cd0ccfce05c5d87fae,5
0x66e541024ca4c50b8f6c0934b8947c487d211661,-1
0x6716b42cb0731a530c8e1374453967a85fc17d44,-1
0x676751fe55f734245651fb781908befff96eed8f,-1
0x676a9ecfffe15c07cd3e043172f322036a3b01d9,5
0x67cb2a595c76cefaf66a64392bbc8cf88dd3f46d,17
